Strain,TriazoleClass,Itraconazole_MIC,Itraconazole_OD_0ug/ml,Itraconazole_OD_0.01ug/ml,Itraconazole_OD_0.03ug/ml,Itraconazole_OD_0.06ug/ml,Itraconazole_OD_0.12ug/ml,Itraconazole_OD_0.25ug/ml,Itraconazole_OD_0.5ug/ml,Itraconazole_OD_1ug/ml,Itraconazole_OD_2ug/ml,Itraconazole_OD_4ug/ml,Itraconazole_OD_8ug/ml,Itraconazole_OD_16ug/ml,Voriconazole_OD_0ug/ml,Voriconazole_OD_0.01ug/ml,Voriconazole_OD_0.03ug/ml,Voriconazole_OD_0.06ug/ml,Voriconazole_OD_0.12ug/ml,Voriconazole_OD_0.25ug/ml,Voriconazole_OD_0.5ug/ml,Voriconazole_OD_1ug/ml,Voriconazole_OD_2ug/ml,Voriconazole_OD_4ug/ml,Voriconazole_OD_8ug/ml,Voriconazole_OD_16ug/ml,Voriconazole_MIC,AmphotericinB_OD_0ug/ml,AmphotericinB_OD_0.01ug/ml,AmphotericinB_OD_0.03ug/ml,AmphotericinB_OD_0.06ug/ml,AmphotericinB_OD_0.12ug/ml,AmphotericinB_OD_0.25ug/ml,AmphotericinB_OD_0.5ug/ml,AmphotericinB_OD_1ug/ml,AmphotericinB_OD_2ug/ml,AmphotericinB_OD_4ug/ml,AmphotericinB_OD_8ug/ml,AmphotericinB_OD_16ug/ml,AmphotericinB_MIC,ZOC_Mean(24h),CD_Mean(24h),ZOC_Mean(48h),CD_Mean(48h),ZOC_Mean(72h),CD_Mean(72h),ZOC/CD(24h),ZOC/CD(48h),ZOC/CD(72h),RawBiofilm_OD,StandardizedBiofilm_OD,TempGrowth15(24h),TempGrowth15(48h),TempGrowth15(72h),TempGrowth22(24h),TempGrowth22(48h),TempGrowth22(72h),TempGrowth35(24h),TempGrowth35(48h),TempGrowth35(72h),TempGrowth41(24h),TempGrowth41(48h),TempGrowth41(72h),AUC15(24-48h),AUC22(24-48h),AUC35(24-48h),AUC41(24-48h),Contains≥95%_of_SNPs
J57xP20_58,susceptible,0.5,0.248333333,0.191689016,0.215777874,0.205555305,0.189367375,0.11,0.032,0.026,0.069,0.023,0.023333333,0.028,0.243666667,0.255539176,0.279631329,0.246110229,0.250367525,0.073,0.015,0.017,0.018,0.018,0.015,0.011,0.5,0.191,0.238784733,0.237058703,0.221229996,0.229749762,0.187,0.175,0.118666667,0.011,0.012,0.012,0.012,2,1.94,1.22,3.37,2.01,4.66,2.89,1.58,1.68,1.61,0.092,0.042333333,0.11,0.112,0.119,0.112,0.312,0.404,0.266,0.369,0.449,0.198,0.279,0.352,0.111333333,0.211666667,0.317333334,0.238666667,No
J57xP20_59,susceptible,0.5,0.236333333,0.19377886,0.203431596,0.189954655,0.204464986,0.127666667,0.04,0.021,0.029666667,0.018666667,0.033666667,0.031333333,0.248,0.262389801,0.261217512,0.269538626,0.25110463,0.069,0.018,0.025666667,0.014666667,0.017666667,0.015,0.01,0.5,0.223333333,0.224110831,0.224224621,0.226892789,0.216205693,0.139666667,0.117666667,0.124666667,0.112666667,0.016,0.014,0.011,4,2.04,1.35,3.61,2.4,4.67,3.4,1.51,1.5,1.37,0.093,0.042666667,0.067,0.068,0.069,0.067,0.218,0.295,0.206,0.299,0.357,0.196,0.28,0.341,0.0675,0.142666667,0.2525,0.238166667,No
J57xP20_60,susceptible,0.5,0.325333333,0.198388086,0.189996283,0.187393706,0.213876289,0.135333333,0.019,0.018,0.089,0.031666667,0.027333333,0.028,0.282,0.268835911,0.2583517,0.240983791,0.269540014,0.087,0.039666667,0.016,0.045,0.016,0.02,0.011,0.5,0.292333333,0.221894185,0.229250314,0.241076871,0.234826582,0.232,0.261666667,0.150666667,0.013,0.015,0.011,0.011,2,2.18,1.38,3.59,2.25,4.74,3.19,1.58,1.6,1.49,0.089,0.038666667,0.094,0.095,0.096,0.075,0.23,0.312,0.238,0.356,0.441,0.217,0.316,0.399,0.0945,0.152833333,0.297,0.266666667,Yes
J57xP20_61,susceptible,0.5,0.295,0.188159986,0.210268052,0.20473297,0.199611671,0.187,0.027,0.02,0.018666667,0.018,0.018,0.018,0.301666667,0.251229233,0.28138741,0.272626774,0.259689443,0.041,0.017333333,0.018,0.018,0.017,0.016666667,0.026333333,0.25,0.275333333,0.216646883,0.230509564,0.219046859,0.240526358,0.262333333,0.238666667,0.214666667,0.243,0.013,0.012,0.01,4,1.83,1.12,3.54,2.37,4.88,3.42,1.63,1.5,1.43,0.087,0.036666667,0.082,0.083,0.084,0.087,0.252,0.328,0.215,0.299,0.366,0.194,0.267,0.328,0.082166667,0.169333334,0.257,0.2305,Yes
J57xP20_62,susceptible,0.5,0.262,0.194625444,0.19961716,0.207282384,0.192502093,0.16,0.018,0.017666667,0.022333333,0.022,0.02,0.022,0.25,0.282876837,0.240794419,0.243871596,0.249715805,0.035333333,0.017333333,0.007666667,0.027,0.017,0.016666667,0.026333333,0.25,0.217666667,0.217091916,0.242381282,0.228854775,0.243228905,0.18,0.175,0.184666667,0.155,0.012,0.014,0.01,4,1.81,1.21,3.43,2.16,4.9,3.01,1.49,1.59,1.63,0.094,0.043666667,0.079,0.081,0.078,0.067,0.187,0.259,0.25,0.378,0.459,0.23,0.351,0.442,0.079666667,0.127166667,0.314333333,0.290833333,Yes
J57xP20_63,susceptible,0.5,0.250666667,0.190700682,0.224428353,0.195747036,0.198011759,0.139333333,0.022,0.02,0.018666667,0.018,0.015,0.015,0.239333333,0.270124083,0.261125802,0.271013694,0.263941223,0.027,0.024666667,0.027,0.007666667,0.04,0.007,0.007,0.25,0.220333333,0.216677642,0.239957019,0.227159048,0.236240283,0.174333333,0.146666667,0.163666667,0.143,0.012666667,0.013,0.012,4,1.75,1.22,3.25,2.16,4.69,3.29,1.43,1.51,1.43,0.086,0.036333333,0.073,0.074,0.076,0.067,0.194,0.266,0.208,0.285,0.332,0.194,0.294,0.37,0.073666667,0.130333334,0.2465,0.244333333,Yes
J57xP20_64,resistant,2,0.251333333,0.206998491,0.191388239,0.188422466,0.206553495,0.107,0.078333333,0.230333333,0.015,0.006,0.004,0.016666667,0.277333333,0.239440268,0.250022728,0.276883759,0.25888425,0.19,0.175333333,0.156,0.096666667,0.017666667,0.017,0.017333333,4,0.191666667,0.230077062,0.221629513,0.227843694,0.219016344,0.191333333,0.170333333,0.158333333,0.148666667,0.013,0.014,0.013,4,1.83,1.24,3.47,2.27,4.7,3.31,1.47,1.53,1.42,0.082,0.032,0.065,0.066,0.066,0.062,0.262,0.365,0.173,0.259,0.321,0.18,0.252,0.307,0.0655,0.1245,0.216,0.216166667,Yes
J57xP20_65,susceptible,0.5,0.272,0.188584646,0.198428454,0.185222479,0.213185164,0.126333333,0.018,0.025,0.012333333,0.009,0.009,0.010666667,0.238,0.276402629,0.26710745,0.278972957,0.271961497,0.087666667,0.020333333,0.021,0.021,0.091333333,0.105,0.112333333,0.5,0.206,0.247017092,0.217499044,0.215123978,0.222843675,0.158333333,0.138,0.143666667,0.149333333,0.012666667,0.013666667,0.013,4,1.78,1.15,3.34,2.17,4.54,3.13,1.55,1.54,1.45,0.079,0.029333333,0.091,0.091,0.091,0.097,0.241,0.337,0.224,0.314,0.379,0.209,0.309,0.364,0.090833334,0.168833334,0.269333333,0.228,No
J57xP20_66,susceptible,0.5,0.238,0.208221798,0.2049566,0.208698607,0.199052933,0.11,0.009,0.018,0.018,0.013,0.011333333,0.009,0.254666667,0.276464675,0.263567632,0.271921394,0.283902971,0.131,0.029666667,0.017,0.009333333,0.017,0.018,0.017333333,0.5,0.234666667,0.229049521,0.234799108,0.240216205,0.222155855,0.185333333,0.178666667,0.149333333,0.21,0.011,0.011333333,0.013,4,1.71,1.14,3.26,2.14,4.54,3,1.5,1.53,1.51,0.077,0.027333333,0.105,0.107,0.108,0.092,0.262,0.341,0.217,0.324,0.404,0.247,0.333,0.393,0.105833334,0.177166667,0.270833333,0.290166667,No
J57xP20_67,susceptible,0.5,0.233333333,0.199941045,0.197187414,0.206011548,0.199448009,0.098,0.027,0.050666667,0.035,0.029333333,0.099,0.033666667,0.195,0.267537823,0.252242802,0.236612265,0.266546369,0.063,0.017,0.017,0.077666667,0.030333333,0.016,0.015,0.5,0.175,0.228103998,0.229926554,0.228869962,0.231510828,0.158333333,0.166666667,0.129,0.136,0.012,0.012333333,0.012,4,1.56,1.19,3.19,2.13,4.55,3.16,1.32,1.5,1.44,0.076,0.026333333,0.081,0.084,0.084,0.09,0.236,0.339,0.228,0.311,0.375,0.187,0.256,0.329,0.082166667,0.163166667,0.269666667,0.221833333,No
J57xP20_68,resistant,>16,0.261666667,0.194905128,0.194399465,0.178888827,0.205082324,0.139666667,0.157666667,0.130333333,0.094333333,0.102333333,0.082666667,0.099,0.209333333,0.26456975,0.230569536,0.251081863,0.238282427,0.138666667,0.111,0.083333333,0.107666667,0.115666667,0.014666667,0.015,8,0.191,0.235359382,0.212557347,0.226575388,0.225670933,0.169666667,0.140666667,0.168333333,0.202,0.013,0.011333333,0.013,4,1.85,1.15,3.5,2.31,4.73,3.25,1.61,1.51,1.45,0.082,0.031666667,0.073,0.075,0.075,0.064,0.191,0.282,0.185,0.275,0.337,0.174,0.247,0.311,0.074,0.127333334,0.230166667,0.210333334,Yes
J57xP20_69,susceptible,0.5,0.239666667,0.205993129,0.196371937,0.20006386,0.203187397,0.091,0.035666667,0.03,0.108666667,0.058666667,0.036666667,0.036666667,0.209333333,0.242839142,0.247020475,0.245085764,0.2544732,0.093,0.015,0.017333333,0.018,0.028333333,0.02,0.018,0.5,0.238,0.226036667,0.244644779,0.229671824,0.231290516,0.169666667,0.183,0.149333333,0.127666667,0.014,0.013,0.013,4,1.79,1.21,3.45,2.4,4.68,3.59,1.48,1.44,1.3,0.079,0.029333333,0.062,0.063,0.063,0.06,0.173,0.24,0.231,0.326,0.398,0.213,0.315,0.405,0.0625,0.116333334,0.278666667,0.264,Yes
J57xP20_70,susceptible,0.5,0.234,0.197002755,0.186549735,0.190367865,0.204912713,0.093333333,0.025,0.017666667,0.024,0.024,0.120333333,0.018666667,0.192666667,0.245206126,0.252280839,0.272644799,0.262034561,0.061666667,0.02,0.02,0.020333333,0.014,0.112666667,0.013,0.5,0.164,0.235480168,0.248802498,0.218597979,0.22614007,0.178,0.163333333,0.168666667,0.143666667,0.011,0.013,0.01,4,2.06,1.26,3.77,2.46,5.09,3.06,1.63,1.53,1.67,0.08,0.030333333,0.078,0.077,0.078,0.076,0.244,0.337,0.241,0.357,0.417,0.21,0.296,0.358,0.0775,0.16,0.298833334,0.253,Yes
